old_index,beds,longitude,latitude,mean_neighbor_price
5,4,-122.50919,37.776695,2203333.333
7,3,-122.50909,37.75958,1389666.667
9,4,-122.509056,37.75801,2110000
15,3,-122.50904,37.774418,1526666.667
17,2,-122.50902,37.758636,1476666.667
23,2,-122.50898,37.77368,1036333.333
46,3,-122.50837,37.752396,1609666.667
57,3,-122.50827,37.778465,2205466.667
62,5,-122.50825,37.777084,2793666.667
63,2,-122.50824,37.75144,1416666.667
70,2,-122.50816,37.761627,1370166.667
75,3,-122.508125,37.776707,2205466.667
102,3,-122.50788,37.78049,2218333.333
153,3,-122.50743,37.777122,2205466.667
174,3,-122.507256,37.748543,1213333.333
188,5,-122.507164,37.778217,2793666.667
206,4,-122.50702,37.780766,2253333.333
210,2,-122.506996,37.775932,1758333.333
219,3,-122.50693,37.7593,1389666.667
229,3,-122.50685,37.77375,1526666.667
230,3,-122.50685,37.773876,1526666.667
233,2,-122.506805,37.773098,948000
235,2,-122.5068,37.773163,948000
252,3,-122.50672,37.75103,1609666.667
255,2,-122.50672,37.77201,948000
264,2,-122.506645,37.755444,1208566.667
272,4,-122.50656,37.751038,1650000
333,3,-122.50606,37.747013,1423333.333
348,2,-122.506,37.776817,1650000
351,3,-122.50598,37.761086,1431666.667
363,3,-122.50595,37.754818,1390000
380,3,-122.505905,37.775536,1520000
385,2,-122.50588,37.74432,1123380
387,4,-122.50588,37.75986,2110000
391,2,-122.505875,37.75973,1406666.667
395,2,-122.50587,37.744255,1123380
401,2,-122.50584,37.75922,1406666.667
406,3,-122.505806,37.743286,1382666.667
469,3,-122.50546,37.738407,1310000
488,4,-122.505325,37.73647,1506600
490,3,-122.5053,37.751404,1333333.333
510,3,-122.50505,37.74803,1423333.333
513,3,-122.50504,37.747707,1423333.333
523,2,-122.505005,37.773487,1371666.667
536,2,-122.50497,37.76209,1333500
549,4,-122.5049,37.74578,1853333.333
553,3,-122.504875,37.776096,1560000
566,4,-122.50478,37.775063,1800000
582,3,-122.50472,37.743332,1382666.667
583,2,-122.50472,37.7742,1480000
586,2,-122.5047,37.73989,1011666.667
615,3,-122.504585,37.73617,1235000
650,4,-122.50431,37.75264,1493333.333
660,3,-122.50421,37.751358,1433333.333
686,4,-122.50399,37.763477,1938333.333
690,2,-122.503975,37.778664,1528333.333
693,3,-122.50395,37.773533,1483333.333
695,4,-122.503944,37.762844,1938333.333
707,3,-122.50387,37.761818,1450666.667
715,2,-122.50382,37.745766,906666.6667
717,2,-122.503815,37.77653,1528333.333
719,2,-122.50379,37.745403,906666.6667
720,2,-122.50379,37.745403,906666.6667
724,4,-122.50378,37.775955,1543333.333
729,2,-122.50375,37.760017,1386666.667
746,2,-122.50368,37.74354,980046.6667
779,3,-122.50354,37.772736,1483333.333
780,2,-122.50353,37.741444,1011666.667
786,4,-122.5035,37.77219,1803333.333
787,3,-122.50349,37.740997,1419333.333
797,2,-122.50344,37.75117,1221666.667
