old_index,beds,longitude,latitude,mean_neighbor_price
14208,5,-122.43684,37.76238,3731666.667
14209,5,-122.43684,37.794018,6883333.333
14210,3,-122.43683,37.74469,1509333.333
14211,3,-122.43683,37.754353,2194000
14212,3,-122.43683,37.756966,1816666.667
14213,3,-122.43683,37.756996,1816666.667
14215,3,-122.43683,37.79037,2565000
14216,2,-122.43682,37.733597,1050000
14217,2,-122.43682,37.733597,1050000
14218,3,-122.43682,37.75672,1543333.333
14219,2,-122.43682,37.756775,1305833.333
14220,5,-122.43682,37.78949,5766666.333
14221,5,-122.436806,37.75113,2538333.333
14222,2,-122.436806,37.75675,1305833.333
14223,4,-122.436806,37.795204,4940333.333
14224,3,-122.4368,37.733658,1516666.667
14225,3,-122.4368,37.747124,1249166.667
14226,4,-122.4368,37.74713,1873333.333
14227,4,-122.4368,37.74713,1873333.333
14228,4,-122.4368,37.748714,2806666.667
14229,3,-122.4368,37.756504,1543333.333
14230,3,-122.4368,37.785633,2433333.333
14231,3,-122.4368,37.785633,2433333.333
14233,4,-122.43679,37.7371,1631666.667
14234,4,-122.43679,37.7371,1631666.667
14235,3,-122.43679,37.74549,1570000
14237,3,-122.43679,37.756584,1543333.333
14238,2,-122.43678,37.71781,358833.3333
14239,2,-122.43678,37.765778,1084166.667
14240,2,-122.43677,37.73371,1050000
14241,4,-122.43677,37.75033,2493333.333
14242,4,-122.43677,37.75033,2493333.333
14243,2,-122.43676,37.71784,358833.3333
14244,3,-122.43676,37.71784,871666.6667
14245,4,-122.43676,37.73588,1664166.667
14246,4,-122.43676,37.745502,2033000
14247,4,-122.43676,37.745502,2033000
14249,2,-122.43675,37.72547,827666.6667
14250,4,-122.436745,37.710754,925000
14251,2,-122.436745,37.717865,358833.3333
14252,2,-122.436745,37.72963,589666.6667
14253,4,-122.436745,37.737926,2373000
14255,3,-122.43673,37.710743,571000
14256,2,-122.43673,37.7557,1420000
14257,4,-122.43673,37.80644,3800000
14259,2,-122.43672,37.74631,986666.6667
14261,3,-122.43672,37.747913,1680000
14262,4,-122.43672,37.74953,3470000
14263,5,-122.43672,37.74953,3368333.333
14264,3,-122.43672,37.75562,1356523.333
14265,2,-122.436714,37.71589,902666.6667
14266,4,-122.436714,37.71589,910000
14267,2,-122.436714,37.72711,679333.3333
14268,4,-122.43671,37.795986,3692000
14269,3,-122.43669,37.719234,624733.3333
14270,3,-122.43668,37.74714,1249166.667
14271,3,-122.43668,37.75435,2375000
14272,3,-122.43668,37.75435,2375000
14274,4,-122.436676,37.715034,956666.6667
14276,3,-122.436676,37.732388,970666.6667
14277,5,-122.436676,37.793095,7602333.333
14278,3,-122.43667,37.79453,4835808.333
14279,2,-122.43666,37.71146,492266.6667
14280,4,-122.43666,37.763912,2141666.667
14281,3,-122.43665,37.71587,596333.3333
14282,2,-122.43665,37.71587,771000
14283,3,-122.43665,37.72954,853333.3333
14284,2,-122.43665,37.750328,1217000
14285,3,-122.43665,37.755066,1288190
14286,3,-122.43665,37.7624,1428333.333
14287,3,-122.43665,37.766464,1451666.667
14289,4,-122.436646,37.75496,2076666.667
14290,4,-122.43664,37.75485,2076666.667
14291,3,-122.43664,37.7549,1713190
14292,2,-122.43664,37.79837,1376666.667
14293,2,-122.43663,37.734943,1167333.333
14294,2,-122.43663,37.735874,915333.3333
14295,6,-122.43663,37.794422,4008333.333
14296,2,-122.436615,37.73586,915333.3333
14297,4,-122.436615,37.748737,2806666.667
14298,3,-122.436615,37.74954,2325000
14299,4,-122.436615,37.74954,3470000
14300,4,-122.436615,37.74954,3470000
14301,4,-122.43661,37.710743,925000
14302,2,-122.43661,37.745502,1366666.667
