,sf,longitude,latitude,mean_hood_ppsf
1814,2473.0,-122.49643999999999,37.76291,815.4737835287775
1821,2141.0,-122.49632,37.776875,990.1914992993928
1829,2715.0,-122.49626,37.760414000000004,702.8852056476366
1832,1220.0,-122.49625400000001,37.74519,1142.6978142076503
1835,3000.0,-122.49623999999999,37.758984000000005,611.4444444444445
1845,1744.0,-122.49618999999998,37.73147,869.6483180428135
1847,1375.0,-122.49618500000001,37.759322999999995,1054.060606060606
1909,1748.0,-122.49548,37.780186,850.4958047292143
1919,2477.0,-122.495384,37.778667,790.6069169694523
1923,1767.0,-122.49535,37.732796,890.3980381060177
1925,2500.0,-122.49535,37.778214,783.3333333333333
1930,1693.0,-122.49533999999998,37.778152,878.1256152785982
1935,1200.0,-122.49525,37.742184,1027.7777777777776
1942,2787.0,-122.49516000000001,37.76027,658.174859466571
1946,1250.0,-122.49513999999999,37.744408,1115.2730666666666
1950,1500.0,-122.49513,37.759884,897.9135555555555
1989,2360.0,-122.49492,37.772358000000004,805.0847457627119
2006,2360.0,-122.494736,37.754227,741.5254237288135
2009,1780.0,-122.49468999999999,37.733955,883.8951310861423
2011,1610.0,-122.49466000000001,37.73746,879.9171842650104
2018,1437.0,-122.49458999999999,37.7521,865.2284852702388
2029,1515.8214689265537,-122.49436000000001,37.731876,1019.2493190468593
2035,1825.0,-122.49434,37.7485,792.2374429223744
2040,1350.0,-122.494316,37.748245000000004,1051.851851851852
2041,1507.0,-122.494316,37.76339,1007.5204600752046
2068,1845.0,-122.49418,37.761414,808.6720867208672
2075,2100.0,-122.494125,37.745476000000004,726.1904761904761
2097,2068.4663865546217,-122.493996,37.774467,1181.2294119041092
2101,1851.0,-122.49396499999999,37.75832,922.0241311003061
2122,1800.0,-122.493835,37.75347,777.7777777777778
2139,1350.0,-122.49368999999999,37.754593,867.9012345679013
2147,1225.0,-122.49356999999999,37.752663,1047.0748299319728
2158,944.0,-122.49346000000001,37.75118,1110.1694915254238
2163,1570.0,-122.49343999999999,37.751053000000006,791.932059447983
2169,2813.0,-122.49338999999999,37.774017,821.7798317336177
2186,1700.0,-122.49323999999999,37.76357,877.6470588235294
2187,1788.0,-122.49323000000001,37.778890000000004,831.469052945563
2191,2043.0,-122.49322,37.76319,759.9934736498614
2200,1552.0,-122.49318000000001,37.74726,948.8831615120275
2201,1150.0,-122.49318000000001,37.778053,1137.6811594202898
2208,1728.0,-122.49314,37.74675,748.070987654321
2213,1425.0,-122.49311000000002,37.761524,1019.8830409356725
2233,2425.0,-122.492966,37.759594,784.192439862543
2235,2364.0,-122.492966,37.75966,838.9734912577552
2243,2180.0,-122.49293,37.75351,833.3333333333334
2244,1787.0,-122.49291000000001,37.75888,937.6981906360754
2267,1466.0,-122.49278000000001,37.757015,834.4702137335152
2268,1175.0,-122.492775,37.75165,1091.631205673759
2298,1765.0,-122.49263,37.739290000000004,883.8526912181303
2299,2117.0,-122.49263,37.739290000000004,764.446543851362
2301,1931.0,-122.49263,37.739418,803.556015881236
2305,1688.0,-122.49261499999999,37.754578,839.2575039494471
2313,2991.0,-122.49258999999999,37.784786,1159.4505739440544
2316,2068.4663865546217,-122.49258400000001,37.784490000000005,1305.314902649834
2344,1225.0,-122.49245,37.752003,1047.0748299319728
2362,800.0,-122.49233999999998,37.75046,1435.4166666666665
2365,1710.0,-122.49233999999998,37.775948,945.4191033138402
2369,800.0,-122.49231999999999,37.750336,1435.4166666666665
2376,1050.0,-122.49228000000001,37.780476,1238.095238095238
2382,1566.0,-122.49221000000001,37.764244,973.8186462324394
2396,1750.0,-122.49213999999999,37.763176,852.5714285714286
2431,1625.0,-122.492,37.745506,795.4871794871796
2443,1125.0,-122.49193999999999,37.775684000000005,1152.5925925925926
2458,2800.0,-122.49188000000001,37.77482,825.5952380952381
2473,2300.0,-122.4918,37.77385,880.4347826086956
2482,2030.0,-122.49176999999999,37.757709999999996,828.4072249589491
2488,1488.0,-122.49171399999999,37.757059999999996,880.3763440860215
2500,2272.0,-122.49161000000001,37.739975,737.2359154929577
2510,1390.0,-122.49153999999999,37.73343,1107.913669064748
2532,1225.0,-122.49141999999999,37.752823,979.047619047619
2567,2068.4663865546217,-122.49127,37.750572,788.0234412293443
2584,1927.0,-122.49116000000001,37.764359999999996,749.1783428472583
2585,1927.0,-122.49116000000001,37.764359999999996,749.1783428472583
2591,1511.0,-122.49112,37.74845,992.2788440326494
2616,1580.0,-122.49096999999999,37.746395,808.6497890295359
2620,1375.0,-122.49096999999999,37.76162,1041.2121212121212
2637,1730.0,-122.49085,37.7602,931.0211946050097
2639,1580.0,-122.490845,37.759815,972.9957805907172
2646,1794.0,-122.49083,37.744473,731.1408398364921
2652,2774.0,-122.4908,37.774868,820.1153568853641
2669,1685.0,-122.49063000000001,37.75698,850.8407517309595
2687,1303.0,-122.49053,37.740215,826.682015860834
2699,1561.0,-122.49045,37.754353,910.740978005552
2701,1805.0,-122.4904,37.738457000000004,930.7479224376731
2728,815.0,-122.49011000000002,37.749393,1319.8474437627813
2731,800.0,-122.490105,37.749332,1344.5945833333335
2777,1532.0,-122.48981,37.734756,946.4751958224543
2778,1151.0,-122.48978999999999,37.775814000000004,1169.9971039675645
2783,1690.0,-122.48977,37.775494,991.1242603550296
2785,2663.0,-122.489746,37.759479999999996,673.4259606959569
2790,1680.0,-122.48971999999999,37.737988,964.2857142857143
2837,1730.0,-122.48948999999999,37.755882,779.5761078998073
2855,1592.0,-122.48938000000001,37.754337,901.5912897822445
2859,3465.0,-122.48933400000001,37.784233,1149.5911495911496
2863,2068.4663865546217,-122.48931,37.78409,1305.314902649834
2870,1083.652388797364,-122.48926000000002,37.783157,1215.0267745249025
2874,1925.0,-122.48923500000001,37.735264,943.7229437229438
2883,1886.0,-122.48918,37.731228,885.4718981972428
2885,1518.0,-122.48917,37.746193,841.6776460254722
2915,1929.0,-122.48896,37.779205,859.6855019872127
2919,1475.0,-122.48892,37.763317,1053.1073446327682
2922,1803.0,-122.488914,37.747704,794.0469587724164
2951,1334.0,-122.48886,37.74713,1002.7486256871565
2972,2205.0,-122.48872,37.775734,880.5744520030235
2978,2050.0,-122.48868600000002,37.744564000000004,909.430894308943
2980,2520.0,-122.48868600000002,37.775288,803.5714285714286
2982,1583.0,-122.48865500000001,37.737736,980.2063592335229
3001,2445.0,-122.48858,37.773804,832.3108384458078
3009,1762.0,-122.48851,37.773037,951.8857359061673
3013,1163.0,-122.48848000000001,37.772587,1157.9249068501003
3016,1200.0,-122.48846999999999,37.741535,945.9722222222223
3022,3245.0,-122.48846,37.78717,1230.0975860297895
3042,1915.0,-122.48832,37.739290000000004,892.9503916449086
3045,3317.0,-122.488304,37.785946,1203.3966435534116
3051,2100.0,-122.48828,37.73853,798.4126984126984
3060,1162.0,-122.48823,37.75322,937.4641422834193
3066,1700.0,-122.48817,37.731045,921.5686274509804
3069,1040.0,-122.48815,37.74624,1007.6923076923077
3077,1550.0,-122.48808000000001,37.750988,865.5913978494624
3079,1156.0,-122.48807,37.732696999999995,1193.7716262975778
3082,1613.0,-122.48806,37.732628000000005,956.8092581111799
3092,1472.0,-122.488,37.731556,1057.0652173913043
3109,1600.0,-122.48785,37.77874,1093.75
3114,1350.0,-122.48782,37.747433,990.8641975308642
3121,1515.0,-122.48781000000001,37.762783,1025.3025302530252
3134,1872.0,-122.487755,37.746475,892.0940170940171
3139,1836.0,-122.48773999999999,37.777073,975.8533042846768
3145,1057.0,-122.48768600000001,37.738792,1116.3670766319774
3149,1676.0,-122.48766,37.75748,886.0381861575179
3179,2907.0,-122.48748,37.742683,691.4344685242518
3191,1150.0,-122.48743400000001,37.753754,947.2463768115941
3194,1750.0,-122.48743,37.757059999999996,848.5714285714286
3197,2240.0,-122.48742,37.772766,953.125
3205,1350.0,-122.487404,37.741585,797.9012345679013
3244,1245.0,-122.48722,37.75424,965.1941097724231
3270,3322.0,-122.48706999999999,37.782776,1199.076861328517
3274,1100.0,-122.487045,37.75166,985.7575757575756
3278,1260.0,-122.486984,37.735077000000004,1064.9470899470898
3287,1367.0,-122.486946,37.750313,932.2116556937332
3290,1300.0,-122.48688500000002,37.74941,980.2564102564102
3304,2408.0,-122.48678000000001,37.778736,845.0996677740864
3305,750.0,-122.48676999999999,37.778576,1571.111111111111
3311,2199.0,-122.48674,37.734333,682.8861603759285
3319,1803.0,-122.486725,37.747097,794.0469587724164
3320,1525.0,-122.486725,37.762572999999996,1018.5792349726776
3327,1640.0,-122.48669,37.757534,875.0
3329,1162.0,-122.48668,37.74665,982.5014343086633
3330,1550.0,-122.48668,37.777153000000006,1129.032258064516
3336,2210.0,-122.48665,37.776897,935.8974358974359
3340,2106.0,-122.48662,37.745552,885.2484963596074
3342,2030.0,-122.48662,37.745743,916.7487684729064
3353,1360.0,-122.48657,37.744915,955.8823529411765
3360,1416.0,-122.48656000000001,37.744915,936.9114877589454
3364,1940.0,-122.48653999999999,37.78568,2147.766323024055
3380,1500.0,-122.48642,37.757946000000004,966.6666666666666
3385,2620.0,-122.48638000000001,37.785686,797.2010178117049
3391,1125.0,-122.48635,37.733246,1202.9629629629628
3396,1530.0,-122.48631999999999,37.756786,947.7124183006536
3416,1415.0,-122.48624,37.731827,1146.7608951707891
3418,1856.0,-122.48624,37.74021,917.7442528735631
3436,1150.0,-122.486176,37.754540000000006,1044.9275362318842
3444,1725.0,-122.486145,37.75008,911.0144927536232
3497,2165.0,-122.48563,37.762238,753.4854503464203
3502,1550.0,-122.48557,37.74595,837.6344086021505
3506,1225.0,-122.48556,37.776559999999996,1078.9115646258504
3547,1102.0,-122.485344,37.736909999999995,1070.780399274047
3552,2189.0,-122.48532,37.773247,928.8868585350997
3563,1051.0,-122.485275,37.787464,1252.7751347922615
3568,1083.652388797364,-122.48525,37.7569,1142.7403714835475
3569,2900.0,-122.48525,37.787079999999996,1098.132183908046
3583,1760.0,-122.48517,37.740196000000005,967.8030303030303
3600,1289.0,-122.48512,37.75504,1056.3744504784072
3622,3154.0,-122.48498000000001,37.788937,1210.4998943140984
3631,2100.0,-122.4848,37.759487,714.1092063492063
3638,2775.0,-122.484695,37.764137,892.8528528528528
3641,1800.0,-122.48463999999998,37.77895,879.5370370370371
3660,5155.0,-122.48456000000002,37.762188,684.3194309731651
3677,1346.0,-122.48449,37.740784000000005,855.8692421991085
3680,1750.0,-122.48446000000001,37.74539,829.1428571428571
3682,1715.0,-122.48445,37.731359999999995,872.6919339164237
3686,1505.0,-122.48443600000002,37.760452,1059.8006644518273
3691,1362.0,-122.48438,37.744296999999996,954.4787077826726
3692,1405.0,-122.48436000000001,37.75929,1135.2313167259786
3703,1375.0,-122.48427,37.758,1121.2121212121212
3710,2216.0,-122.48421499999999,37.772976,914.2599277978339
3724,5450.0,-122.48411599999999,37.78669,1034.7400611620794
3729,1060.0,-122.4841,37.740241999999995,1053.4591194968555
3733,4057.0,-122.4841,37.786235999999995,961.3014542765591
3740,1370.0,-122.48404,37.7651,972.2627737226277
3743,2080.0,-122.48402,37.754635,754.8076923076923
3771,1975.0,-122.48371000000002,37.780743,801.6033755274262
3783,2000.0,-122.483604,37.731815000000005,795.8333333333334
3784,2335.0,-122.483604,37.77944,906.4953604568165
3805,2957.0,-122.48352,37.74756,650.4339984218238
3824,1700.0,-122.48337,37.760532,813.921568627451
3838,2237.0,-122.4833,37.783955,1020.4324243778872
3860,2175.0,-122.48313,37.74177,863.1417624521073
3871,1515.8214689265537,-122.48308600000001,37.756676,1015.9507775612708
3876,1115.0,-122.48303,37.740353000000006,1103.1390134529147
3897,1750.0,-122.48286399999999,37.733856,845.7142857142857
3908,2020.0,-122.48273,37.731995,787.953795379538
3917,1305.0,-122.48251,37.76145,1107.5351213282247
3924,1910.0,-122.48248000000001,37.778603000000004,971.9895287958116
3962,1400.0,-122.48227,37.75585,1090.4761904761906
3978,2079.0,-122.482216,37.744263000000004,939.5542728876062
3980,1425.0,-122.4822,37.743813,925.1461988304093
3989,1500.0,-122.482155,37.758520000000004,1016.6666666666666
3990,1500.0,-122.482155,37.758778,1057.7777777777778
3991,2008.0,-122.48213999999999,37.774033,1038.8446215139443
4013,2357.0,-122.48198000000001,37.756214,735.3981049356527
4014,2068.4663865546217,-122.48198000000001,37.786685999999996,1905.295968203347
4024,2207.0,-122.481926,37.755435999999996,756.6832804712279
4029,1552.0,-122.48191000000001,37.73285,1000.8591065292096
4033,2220.0,-122.48188,37.785385,1733.9522522522523
4037,2270.0,-122.48186000000001,37.732113,793.8161527165933
4040,2250.0,-122.48185,37.784909999999996,1014.5365925925927
4046,2972.0,-122.48182,37.73168,863.7295872588605
4050,2280.0,-122.4818,37.778296999999995,957.6023391812867
4065,2650.0,-122.48151999999999,37.734955,795.7091823899372
4072,2250.0,-122.48147,37.764340000000004,888.1481481481482
4073,2854.0,-122.48147,37.764340000000004,855.8747956085026
4079,827.0,-122.48142,37.763709999999996,1503.4260378879483
4089,1594.0,-122.48136000000001,37.77813,1097.8670012547052
4091,1606.0,-122.48135,37.778003999999996,1089.6637608966375
4094,912.0,-122.481346,37.76243,1836.622807017544
4100,1820.0,-122.48133999999999,37.772705,978.876923076923
4101,2071.0,-122.48133,37.777493,937.6307741831642
4126,1960.0,-122.48115,37.785915,1971.0884353741496
4155,1407.0,-122.48095,37.731915,1131.9592513622365
4157,1625.0,-122.480934,37.731533,921.0256410256411
4164,1250.0,-122.48088999999999,37.740643,997.3333333333334
4191,1220.0,-122.480705,37.753426,1188.5245901639344
4200,1750.0,-122.48066999999999,37.752655,856.1904761904761
4208,1200.0,-122.480644,37.752464,1208.3333333333333
4210,2133.0,-122.48060600000001,37.751816,748.5544616346305
4217,2069.0,-122.48055,37.751175,771.7093603995489
4226,2688.0,-122.48047,37.750009999999996,669.0228174603175
4234,1625.0,-122.48042,37.764507,937.6410256410256
4237,2711.0,-122.48042,37.77462,852.0841018074511
4240,1350.0,-122.4804,37.749054,975.3086419753087
4252,2230.0,-122.480286,37.762794,896.1136023916292
4274,1955.0,-122.48008,37.731970000000004,814.151747655584
4278,2852.0,-122.48006399999998,37.7751,814.1654978962132
4284,1270.0,-122.479996,37.758423,1031.4960629921259
4326,1649.0,-122.4797,37.784847,1047.0992520719628
4329,1320.0,-122.47967,37.73825,1016.4141414141415
4332,1730.0,-122.47966000000001,37.738056,919.0751445086705
4347,1920.0,-122.47956,37.782986,1239.5833333333333
4355,1470.0,-122.47948000000001,37.75103,932.1995464852607
4361,1500.0,-122.47938,37.74961,863.5555555555555
4377,1400.0,-122.47922,37.762714,1023.0952380952381
4380,2137.0,-122.47922,37.778034000000005,1037.2796755576353
4385,1900.0,-122.4792,37.777843,1067.1929824561405
4389,1250.0,-122.47918999999999,37.76246,1076.5333333333333
4404,1541.0,-122.47906,37.745243,871.728314947004
4455,1120.0,-122.47835,37.750202,1056.547619047619
4460,1806.0,-122.47828999999999,37.744803999999995,895.1642672572906
4466,1474.0,-122.478195,37.74824,969.2446856625961
4473,1375.0,-122.47816,37.747665000000005,1039.030303030303
4475,1792.0,-122.47815,37.747409999999995,888.2068452380953
4477,1153.0,-122.47813000000001,37.756046000000005,1136.1665221162186
4482,1450.0,-122.47808,37.777126,1120.6896551724137
4500,2444.0,-122.47791000000001,37.733707,862.7779596290235
4504,1481.0,-122.477905,37.75922,981.3189286518118
4516,2380.0,-122.477806,37.742424,815.8263305322129
4550,1294.0,-122.47753,37.753914,1127.9752704791345
4552,1320.0,-122.47753,37.784657,1022.7272727272727
4571,2068.4663865546217,-122.47742,37.78302,1094.2084183941201
4572,1050.0,-122.4774,37.748591999999995,1104.7619047619048
4577,1508.0,-122.4773,37.750614,908.709106984969
4583,2160.0,-122.47723400000001,37.749706,793.2098765432098
4597,2001.0,-122.47719599999999,37.71492,820.4231217724472
4614,2173.0,-122.47708999999999,37.74762,788.464488418469
4628,1325.0,-122.477005,37.741116,954.7169811320755
4644,1500.0,-122.47689,37.775729999999996,1084.4444444444446
4655,1175.0,-122.47668999999999,37.74196,1121.9858156028367
4664,1780.0,-122.47658,37.755287,839.8876404494382
4670,1250.0,-122.476524,37.75694,1105.3333333333335
4689,2181.0,-122.476395,37.737686,802.3842274186153
4708,2788.0,-122.47623,37.781433,883.6681013868962
4711,1810.0,-122.47621000000001,37.78118,1012.891344383057
4715,2285.0,-122.47613,37.772945,786.8921954777535
4737,1785.0,-122.47600600000001,37.778248,1003.734827264239
4740,1879.0,-122.476,37.732185,781.9762284903317
4746,1950.0,-122.47594,37.777225,947.008547008547
4763,1680.0,-122.475746,37.759125,984.1269841269841
4778,1275.0,-122.47565,37.754284000000006,1144.7843137254902
4779,1400.0,-122.47565,37.754284000000006,1042.5714285714287
4794,1330.0,-122.47548,37.74134,918.546365914787
4814,1712.0,-122.475334,37.753147,871.3006230529595
4832,3483.0,-122.47514,37.73383,722.5571825055029
4837,1718.0,-122.47511000000002,37.749992,882.8094683740784
4853,1810.0,-122.47505,37.749096,837.9373848987109
4854,2300.0,-122.47505,37.74929,786.6666666666666
4855,2744.0,-122.475044,37.758086999999996,832.1185617103985
4860,1813.0,-122.475,37.73427,829.7481154624012
4865,1250.0,-122.47496000000001,37.74774,1218.6666666666665
4876,1475.0,-122.4749,37.756176,1132.2033898305085
4879,1350.0,-122.47488999999999,37.762229999999995,1100.2469135802469
4892,2000.0,-122.4748,37.77637,960.8333333333334
4918,1815.0,-122.47468,37.784344,1006.6527089072544
4927,1442.0,-122.47465,37.77431,1128.0628756356912
4935,2870.0,-122.47458999999999,37.78436,965.8536585365854
4941,1351.0,-122.47456000000001,37.7577,1084.381939304219
4944,1521.0,-122.47453,37.720642,886.4781941705019
4958,2484.0,-122.47451000000001,37.756775,906.4680622651637
4967,1450.0,-122.47443999999999,37.755959999999995,1151.7241379310344
4986,1930.0,-122.47431999999999,37.7386,839.3782383419689
4987,2185.0,-122.47431,37.738537,800.9153318077804
4997,1296.0,-122.47426999999999,37.738018,1113.6831275720165
5018,2369.0,-122.474174,37.751938,777.1211481637822
5020,2240.0,-122.47417,37.78317,1097.470238095238
5022,1501.0,-122.47416000000001,37.751682,952.0319786808794
5032,2100.0,-122.47411000000001,37.75101,895.2380952380952
5037,2471.0,-122.47408,37.727825,865.7763388641577
5048,2629.0,-122.474014,37.73312,828.05730949664
5054,2068.4663865546217,-122.47399999999999,37.76188,778.0321419744936
5059,1969.0,-122.47395,37.764454,838.4966988318944
5070,1515.8214689265537,-122.47388000000001,37.747826,1009.7935001215056
5090,2000.0,-122.47375500000001,37.777676,1056.1666666666667
5096,1250.0,-122.47373999999999,37.761359999999996,1245.6
5103,1950.0,-122.47373,37.777134000000004,1083.2478632478633
5113,1774.0,-122.47366000000001,37.72094,810.7854190154077
